AMT Sample,Image No.,Spheres Y/N?,,Family,Genus,Species,CN visible,CN x2,CL distal,CL proximal,CW,CD - short,Cd-long,Shape model (Sun and Lui),Volume,Eq. spherical D,Notes,ks suggested,ks min,ks max,,PIC pg CaCO3,PIC pg C,PIC pmol C,Cocco D,Volume,% vol. that is cell for this genus,Estimated cell volume,Estimated cell diameter,Estimated POC pg C MDL,Estimated POC pmol C MDL,PIC:POC MDL,Estimated POC pg C Villiot,Estimated POC pmol C Villiot,PIC:POC Villiot
AMT-14 CTD15 13m,31-8-05-0118,Collapsed,1,Syracosphaeraceae,Syracosphaera,prolongata,30,60,1.091,,,,,,189.60,7.13,"CW = 0.579, assuming 30% gap between coccoliths",0.015,,,,3.16,0.38,0.03,7.13,189.60,76.00,144.10,6.50,22.98,1.92,0.02,9.73,0.81,0.04
AMT-14 CTD15 13m,31-8-05-0120,Partly collapsed,1,Rhabdosphaeraceae,Discosphaera,tubifera,23,46,2.256,,,4.632,8.533,,95.86,5.68,Coccolith height = 5.077,0.07,0.053,0.087,,99.82,11.98,1.00,5.68,95.86,95,91.07,5.58,14.94,1.24,0.80,7.06,0.59,1.70
AMT-14 CTD15 13m,31-8-05-0122,Intact,1,Rhabdosphaeraceae,Acanthoica,quattrospina,31,62,1.528,,,6.082,7.578,,146.77,6.54,,0.03,,,,17.92,2.15,0.18,6.54,146.77,89,130.63,6.30,20.96,1.75,0.10,9.09,0.76,0.24
AMT-14 CTD15 13m,31-8-05-0124,Intact,1,Noelaerhabdaceae,Gephyrocapsa,ericsonii,8,16,1.777,,,3.16,3.16,,16.52,3.16,,0.05,0.037,0.06,,12.12,1.45,0.12,3.16,16.52,23,3.80,1.94,0.76,0.06,1.92,0.76,0.06,1.90
AMT-14 CTD15 13m,31-8-05-0124,Intact,1,Syracosphaeraceae,Syracosphaera,sp.,13,26,1.25,,,3.343,3.434,,20.09,3.37,,0.015,,,,2.06,0.25,0.02,3.37,20.09,76.00,15.27,3.08,2.79,0.23,0.09,2.02,0.17,0.12
AMT-14 CTD15 13m,31-8-05-0128,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,tenuis,8,16,6.078,1.912,,,,,120.89,6.13,"CW = 1.295,  maximum upper collar CW = 6.078, possible 5% base overlap, ",0.015,0.012,0.016,,72.10,8.65,0.72,6.13,120.89,95,114.85,6.03,18.57,1.55,0.47,8.30,0.69,1.04
AMT-14 CTD15 13m,31-8-05-0130,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,tenuis,,18,6.078,2.012,,,,,155.72,6.67,"CW = 1.473,  maximum upper collar CW = 6.078, possible 5% base overlap, ",0.015,0.012,0.016,,81.07,9.73,0.81,6.67,155.72,95,147.93,6.56,23.56,1.96,0.41,9.91,0.83,0.98
AMT-14 CTD15 13m,31-8-05-0132,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,6,13,3.318,,,5.764,5.856,,101.87,5.79,,0.02,0.016,0.025,,25.64,3.08,0.26,5.79,101.87,53.00,53.99,4.69,9.14,0.76,0.34,4.89,0.41,0.63
AMT-14 CTD15 13m,31-8-05-0140,Partly collapsed,1,Umbellosphaeraceae,Umbellosphaera,tenuis,11,22,5.296,1.836,,,,,157.51,6.70,"CW = 0.977,  maximum upper collar CW = 5.296, possible 5% base overlap, effective coccosphere diameter incl. coccolith height = 9.5 um, CN estimated",0.015,0.012,0.016,,65.32,7.84,0.65,6.70,157.51,95,149.63,6.59,23.81,1.98,0.33,9.99,0.83,0.78
AMT-14 CTD15 13m,31-8-05-0142,Intact,1,Rhabdosphaeraceae,Discosphaera,tubifera,24,48,2.51,,,6.051,6.936,,132.97,6.33,,0.07,0.053,0.087,,143.46,17.21,1.43,6.33,132.97,95,126.32,6.23,20.31,1.69,0.85,8.87,0.74,1.94
AMT-14 CTD15 13m,31-8-05-0142,Intact,1,Noelaerhabdaceae,Gephyrocapsa,ericsonii,6,13,1.704,,,3.159,3.117,,16.29,3.14,,0.05,0.037,0.06,,8.68,1.04,0.09,3.14,16.29,23,3.75,1.93,0.75,0.06,1.40,0.76,0.06,1.38
AMT-14 CTD15 13m,31-8-05-0144,"Part of coccosphere, other part image ",1,Syracosphaeraceae,Syracosphaera,sp.,,,2.339,,,,,,,,,0.015,,,,,,,,,,,,,,,,,
AMT-14 CTD15 13m,31-8-05-0145,Intact,1,Rhabdosphaeraceae,Discosphaera,tubifera,27,54,2.153,,,6.468,6.916,,151.49,6.61,Coccolith height = 5.167,0.07,0.053,0.087,,101.86,12.22,1.02,6.61,151.49,95,143.92,6.50,22.96,1.91,0.53,9.72,0.81,1.26
AMT-14 CTD15 13m,31-8-05-0147,Collapsed,1,Syracosphaeraceae,Syracosphaera,prolongata,16,31,1.423,,,4.67,4.903,,55.99,4.75,Coccosphere size measured from flattened coccosphere,0.015,,,,3.62,0.43,0.04,4.75,55.99,76.00,42.55,4.33,7.31,0.61,0.06,4.14,0.35,0.10
AMT-14 CTD15 13m,31-8-05-0147,Collapsed,1,Syracosphaeraceae,Syracosphaera,nodosa,16,32,1.88,,,,,,399.70,9.14,"CW = 1.068, assuming 30% gap between coccoliths",0.015,,,,8.61,1.03,0.09,9.14,399.70,76.00,303.77,8.34,46.30,3.86,0.02,16.40,1.37,0.06
AMT-14 CTD15 13m,31-8-05-0148,Collapsed,1,Syracosphaeraceae,Syracosphaera,pulchra HOL oblonga type,38,76,2.512,,,,,,3791.10,19.35,"CW = 1.508, assuming 30% gap between coccoliths",0.015,,,,48.79,5.85,0.49,19.35,3791.10,76.00,2881.24,17.65,382.82,31.90,0.02,79.22,6.60,0.07
AMT-14 CTD15 13m,31-8-05-0158,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,tenuis,,19,7.471,1.856,,,,,138.67,6.42,"CW = 1.231,  maximum upper collar CW = 7.471, possible 5% base overlap, ",0.015,0.012,0.016,,159.69,19.16,1.60,6.42,138.67,95,131.73,6.31,21.13,1.76,0.91,9.14,0.76,2.10
AMT-14 CTD15 13m,31-8-05-0159,"Collapsed, other part on image 158?",1,Holococcolith,Homozygosphaera,sp.,45,90,1.608,,,,,,2502.12,16.84,"CW = 1.232, assuming 30% gap between coccoliths",,,,,,,,,,,,,,,,,,
AMT-14 CTD15 13m,31-8-05-0159,"Collapsed, other part on image ?",1,Syracosphaeraceae,Syracosphaera,nodosa,,,2.464,,,,,,,,"CW = 1.668, assuming 30% gap between coccoliths",0.015,,,,,,,,,,,,,,,,,
AMT-14 CTD15 13m,31-8-05-0165,Collapsed,1,Holococcolith,Unknown,sp.,11,22,2.004,,,,,,433.34,9.39,"CW = 1.538, assuming 30% gap between coccoliths",,,,,,,,,,,,,,,,,,
AMT-14 CTD15 13m,31-8-05-0166,Collapsed,1,Holococcolith,Helladosphaera,cornifera,16,32,1.788,,,,,,516.35,9.95,"CW = 1.332, assuming 30% gap between coccoliths",0.036,,,,17.78,2.13,0.18,9.95,516.35,36.00,185.89,7.08,29.19,2.43,0.07,11.63,0.97,0.18
AMT-14 CTD15 13m,31-8-05-0167,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,22,44,3.229,,,6.537,6.562,,146.82,6.55,"probably 3 layer coccosphere, 10 loose coccoliths surrounding",0.02,0.016,0.025,,79.99,9.60,0.80,5.99,146.82,53.00,77.82,5.30,12.89,1.07,0.74,6.32,0.53,1.52
AMT-14 CTD15 13m,31-8-05-0167,Partly collapsed,1,Holococcolith,Unknown,sp.,15,30,1.097,,,3.997,5.021,,42.00,4.31,,,,,,,,,,,,,,,,,,,
AMT-14 CTD15 13m,31-8-05-0173,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,tenuis,,11,6.689,2.323,,,,,144.36,6.51,"CW = 1.745,  maximum upper collar CW = 6.689, possible 5% base overlap, CN might be under as partly covered by gunk",0.015,0.012,0.016,,66.12,7.93,0.66,6.51,144.36,95,137.14,6.40,21.94,1.83,0.36,9.40,0.78,0.84
AMT-14 CTD15 13m,31-8-05-0173,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,tenuis,,11,6.187,1.944,,,,,52.03,4.63,"CW = 1.056,  maximum upper collar CW = 6.187, possible 5% base overlap, ",0.015,0.012,0.016,,52.30,6.28,0.52,4.63,52.03,95,49.42,4.55,8.42,0.70,0.75,4.60,0.38,1.36
AMT-14 CTD15 13m,31-8-05-0173,Partly collapsed,1,Holococcolith,Helladosphaera,cornifera,18,36,1.596,,,5.108,7.902,,107.95,5.91,"CW = 1.036, ",0.036,,,,14.23,1.71,0.14,5.91,107.95,36.00,38.86,4.20,6.71,0.56,0.25,3.89,0.32,0.44
AMT-14 CTD15 13m,31-8-05-0177,Collapsed,1,Syracosphaeraceae,Ophiaster,sp.,23,46,1.18,,,,,,477.12,9.69,"CW = 0.896, assuming 30% gap between coccoliths",0.015,,,,3.06,0.37,0.03,9.69,477.12,90.00,429.41,9.36,64.08,5.34,0.01,20.90,1.74,0.02
AMT-14 CTD15 13m,31-8-05-0178,Intact,1,Umbellosphaeraceae,Umbellosphaera,tenuis,11,22,6.689,1.812,,,,,152.85,6.63,"CW = 1.162,  maximum upper collar CW = 6.689, possible 5% base overlap",0.015,0.012,0.016,,132.48,15.90,1.32,6.63,152.85,95,145.21,6.52,23.15,1.93,0.69,9.78,0.82,1.62
AMT-14 CTD15 13m,31-8-05-0179,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,tenuis,,35,7.539,1.957,,,,,344.26,8.70,"CW = 1.234,  maximum upper collar CW = 7.539, possible 5% base overlap",0.015,0.012,0.016,,302.24,36.27,3.02,8.70,344.26,95,327.04,8.55,49.62,4.14,0.73,17.27,1.44,2.10
AMT-14 CTD15 13m,31-8-05-0182,Intact,1,Papposphaeraceae,Papposphaera,sp.,,,1.673,,,6.653,8.787,,203.65,7.30,CN cannot be determined,,,,,,,,,,,,,,,,,,
AMT-14 CTD15 13m,31-8-05-0184,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,tenuis,,17,5.881,1.652,,,,,74.88,5.23,"CW = 1.025,  maximum upper collar CW = 5.881, possible 5% base overlap",0.015,0.012,0.016,,69.42,8.33,0.69,5.23,74.88,95,71.13,5.14,11.85,0.99,0.70,5.94,0.49,1.40
AMT-14 CTD15 13m,31-8-05-0185,Collapsed,1,Noelaerhabdaceae,Emiliania,huxleyi,,9,3.203,,,,,,78.90,5.32,Coccosphere size uses central area length and width,0.02,0.016,0.025,,15.97,1.92,0.16,5.32,78.90,53.00,41.82,4.31,7.19,0.60,0.27,4.09,0.34,0.47
AMT-14 CTD15 13m,31-8-05-0186,Partly collapsed,1,Rhabdosphaeraceae,Acanthoica,quattrospina,16,32,2.334,,,6.538,7.029,,157.32,6.70,,0.03,,,,32.96,3.95,0.33,6.70,157.32,89,140.01,6.44,22.37,1.86,0.18,9.54,0.79,0.41
AMT-14 CTD15 13m,31-8-05-0189,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,tenuis,,21,4.909,1.751,,,,,147.83,6.56,"CW = 1.232,  maximum upper collar CW = 4.909, possible 5% base overlap",0.015,0.012,0.016,,49.52,5.94,0.50,6.56,147.83,95,140.44,6.45,22.44,1.87,0.26,9.56,0.80,0.62
AMT-14 CTD15 13m,31-8-05-0190,Partly collapsed,1,Umbellosphaeraceae,Umbellosphaera,tenuis,,12,7.88,1.793,,,,,61.08,4.89,"CW = 1.168,  maximum upper collar CW = 7.880, possible 5% base overlap",0.015,0.012,0.016,,118.44,14.21,1.18,4.89,61.08,95,58.02,4.80,9.78,0.82,1.45,5.15,0.43,2.76
AMT-14 CTD15 13m,31-8-05-0191,Intact,1,Rhabdosphaeraceae,Rhabdosphaera,clavigera,10,20,3.702,,,5.69,6.375,,108.07,5.91,"8 with spines, approx. 12 no spines, CW = 2.030, 80% coccolith overlap, spine length = 4.514",0.025,,,,68.49,8.22,0.68,5.91,108.07,90.00,97.26,5.71,15.89,1.32,0.52,7.39,0.62,1.11
AMT-14 CTD15 13m,31-8-05-0191,"Part of coccosphere, other part image  190",1,Rhabdosphaeraceae,Rhabdosphaera,xiphos,28,56,1.851,,,5.435,5.435,,84.06,5.44,"Approx. 44 with spines, CW = 1.290, 80% coccolith overlap, spine length = 5.899, CN estimated",0.005,,,,4.79,0.58,0.05,5.44,84.06,90.00,75.66,5.25,12.55,1.05,0.05,6.20,0.52,0.09
AMT-14 CTD15 13m,31-8-05-0193,Intact,1,Rhabdosphaeraceae,Rhabdosphaera,clavigera,16,32,3.641,,,6.624,6.903,,158.59,6.72,"18 with spines, approx. 14 no spines, CW = 2.419, 80% coccolith overlap, spine length = 4.460",0.025,,,,104.26,12.51,1.04,6.72,158.59,90.00,142.73,6.48,22.78,1.90,0.55,9.67,0.81,1.29
AMT-14 CTD15 13m,31-8-05-0195,Intact,1,Umbellosphaeraceae,Umbellosphaera,tenuis,10,20,6.94,1.999,,,,,157.10,6.69,"CW = 1.180,  maximum upper collar CW = 6.940, possible 5% base overlap",0.015,0.012,0.016,,134.52,16.14,1.35,6.69,157.10,95,149.24,6.58,23.75,1.98,0.68,9.97,0.83,1.62
AMT-14 CTD15 13m,31-8-05-0196,Collapsed,1,Rhabdosphaeraceae,Discosphaera,tubifera,,26,2.292,,,,,,55.80,4.74,CN estimated,0.07,0.053,0.087,,59.17,7.10,0.59,4.74,55.80,95,53.01,4.66,8.99,0.75,0.79,4.83,0.40,1.47
AMT-14 CTD15 13m,31-8-05-0197,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,tenuis,,25,6.089,1.729,,,,,147.18,6.55,"CW = 1.045,  maximum upper collar CW = 6.089, possible 5% base overlap",0.015,0.012,0.016,,113.37,13.60,1.13,6.55,147.18,95,139.82,6.44,22.34,1.86,0.61,9.53,0.79,1.43
AMT-14 CTD15 13m,31-8-05-0198,Intact,1,Syracosphaeraceae,Syracosphaera,nodosa,14,28,1.951,,,4.8,4.894,,59.04,4.83,,0.015,,,,8.42,1.01,0.08,4.83,59.04,76.00,44.87,4.41,7.68,0.64,0.13,4.30,0.36,0.24
AMT-14 CTD15 13m,31-8-05-0199,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,tenuis,,19,6.046,1.793,,,,,175.69,6.95,"CW = 1.492,  maximum upper collar CW = 6.046, possible 5% base overlap",0.015,0.012,0.016,,84.31,10.12,0.84,6.95,175.69,95,166.90,6.83,26.38,2.20,0.38,10.79,0.90,0.94
AMT-14 CTD15 13m,31-8-05-0201,Collapsed,1,Syracosphaeraceae,Syracosphaera,hastata,17,34,1.919,,,6.125,6.125,,120.31,6.13,Coccosphere size measured from flattened coccosphere,0.015,,,,9.73,1.17,0.10,6.13,120.31,76.00,91.44,5.59,15.00,1.25,0.08,7.08,0.59,0.16
AMT-14 CTD15 13m,31-8-05-0201,Collapsed,1,Syracosphaeraceae,Syracosphaera,sp.,12,24,2.073,,,5.447,5.919,,91.95,5.60,Coccosphere size measured from flattened coccosphere,0.015,,,,8.66,1.04,0.09,5.60,91.95,76.00,69.88,5.11,11.65,0.97,0.09,5.86,0.49,0.18
AMT-14 CTD15 13m,31-8-05-0204,Intact,1,Rhabdosphaeraceae,Rhabdosphaera,clavigera,19,38,3.218,,,7.118,7.506,,199.12,7.25,"20 with spines, approx. 18 no spines, CW = 1.694, 80% coccolith overlap, spine length = 5.033",0.025,,,,85.48,10.26,0.85,7.25,199.12,90.00,179.21,7.00,28.21,2.35,0.36,11.34,0.94,0.90
AMT-14 CTD15 13m,31-8-05-0205,Intact,1,Umbellosphaeraceae,Umbellosphaera,tenuis,16,32,5.659,1.71,,,,,273.28,8.05,"CW = 1.247,  maximum upper collar CW = 5.659, possible 5% base overlap",0.015,0.012,0.016,,116.27,13.95,1.16,8.05,273.28,95,259.61,7.91,39.95,3.33,0.35,14.69,1.22,0.95
AMT-14 CTD15 13m,31-8-05-0205,Collapsed,1,Syracosphaeraceae,Syracosphaera,prolongata,15,30,2.366,,,,,,987.24,12.35,"CW = 1.654, assuming 30% gap between coccoliths, CN uncertain",0.015,,,,16.09,1.93,0.16,12.35,987.24,76.00,750.30,11.27,108.22,9.02,0.02,30.89,2.57,0.06
AMT-14 CTD15 13m,31-8-05-0205,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,tenuis,,10,6.239,1.847,,,,,52.63,4.65,"CW = 1.232,  maximum upper collar CW = 6.239, possible 5% base overlap",0.015,0.012,0.016,,48.79,5.85,0.49,4.65,52.63,95,49.99,4.57,8.51,0.71,0.69,4.64,0.39,1.26
AMT-14 CTD15 13m,31-8-05-0210,Partly collapsed,1,Holococcolith,Homozygosphaera,spinosa,17,34,1.537,,,,,,623.66,10.60,"CW = 1.654, assuming 30% gap between coccoliths, CN uncertain",,,,,,,,,,,,,,,,,,
AMT-14 CTD15 13m,31-8-05-0214,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,tenuis,,13,5.958,1.958,,,,,85.14,5.46,"CW = 1.234,  maximum upper collar CW = 5.958, possible 5% base overlap",0.015,0.012,0.016,,55.14,6.62,0.55,5.46,85.14,95,80.88,5.37,13.36,1.11,0.50,6.50,0.54,1.02
AMT-14 CTD15 13m,31-8-05-0216,Collapsed,1,Rhabdosphaeraceae,Rhabdosphaera,clavigera,,29,3.188,,,5.785,7.277,,127.51,6.24,"11 with spines, approx. 18 no spines, CW = 1.962, 80% coccolith overlap, spine length = 4.983",0.025,,,,63.42,7.61,0.63,6.24,127.51,90.00,114.76,6.03,18.56,1.55,0.41,8.30,0.69,0.92
AMT-14 CTD15 13m,31-8-05-0216,Collapsed,1,Syracosphaeraceae,Ophiaster,sp.,21,42,1.056,,,3.749,4.747,,34.93,4.06,Coccosphere size measured from flattened coccosphere,0.015,,,,2.00,0.24,0.02,4.06,34.93,90.00,31.44,3.92,5.50,0.46,0.04,3.35,0.28,0.07
AMT-14 CTD15 13m,31-8-05-0217,Collapsed,1,Rhabdosphaeraceae,Discosphaera,tubifera,,21,2.337,,,,,,39.40,4.22,"CN estimated, CW = 1.816",0.07,0.053,0.087,,50.66,6.08,0.51,4.22,39.40,95,37.43,4.15,6.48,0.54,0.94,3.79,0.32,1.60
AMT-14 CTD15 13m,31-8-05-0218,Intact,1,Umbellosphaeraceae,Umbellosphaera,tenuis,12,24,6.708,2.075,,,,,237.26,7.68,"CW = 1.673,  maximum upper collar CW = 6.708, possible 5% base overlap",0.015,0.012,0.016,,145.64,17.48,1.46,7.68,237.26,95,225.40,7.55,34.98,2.92,0.50,13.31,1.11,1.31
AMT-14 CTD15 13m,31-8-05-0218,Part of collapsed coccosphere,1,Holococcolith,Helladosphaera,sp.,17,32,1.487,,1.654,,,,541.89,10.12,"CW = 1.654, assuming 30% gap between coccoliths, CN uncertain",0.036,,,,10.23,1.23,0.10,10.12,541.89,36.00,195.08,7.20,30.55,2.55,0.04,12.03,1.00,0.10
AMT-14 CTD15 13m,31-8-05-0220,"Part of coccosphere, other part image ",1,Holococcolith,Homozygosphaera,sp.,38,76,1.545,,,9.131,9.131,,398.62,9.13,,,,,,,,,,,,,,,,,,,
AMT-14 CTD15 13m,31-8-05-0221,Intact,1,Noelaerhabdaceae,Gephyrocapsa,ericsonii,4,8,2.951,,,3.216,4.589,,24.85,3.62,,0.05,0.037,0.06,,27.75,3.33,0.28,3.62,24.85,23,5.72,2.22,1.11,0.09,3.00,1.02,0.08,3.28
AMT-14 CTD15 13m,31-8-05-0221,Intact,1,Umbellosphaeraceae,Umbellosphaera,tenuis,,17,5.898,2.103,,,,,141.72,6.47,"CW = 1.529,  maximum upper collar CW = 5.898, possible 5% base overlap, effective coccosphere diameter = 8.482",0.015,0.012,0.016,,69.87,8.38,0.70,6.47,141.72,95,134.63,6.36,21.56,1.80,0.39,9.28,0.77,0.90
AMT-14 CTD15 13m,31-8-05-0224,Collapsed,1,Syracosphaeraceae,Syracosphaera,bannockii,21,42,2.306,,,,,,1234.58,13.31,"CW = 1.407, assuming 30% gap between coccoliths, ",0.015,,,,20.86,2.50,0.21,13.31,1234.58,76.00,938.28,12.15,133.50,11.12,0.02,36.12,3.01,0.07
AMT-14 CTD15 13m,31-8-05-0224,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,tenuis,9,18,5.136,1.979,,,,,201.61,7.28,"CW = 1.564,  maximum upper collar CW = 5.136, possible 5% base overlap",0.015,0.012,0.016,,48.63,5.84,0.49,7.28,201.61,95,191.53,7.15,30.02,2.50,0.19,11.88,0.99,0.49
AMT-14 CTD15 13m,31-8-05-0227,Collapsed,1,Unknown,Unknown,Unknown,,,,,,8.446,10.925,,408.06,9.20,,,,,,,,,,,,,,,,,,,
AMT-14 CTD15 13m,31-8-05-0228,Collapsed,1,Syracosphaeraceae,Syracosphaera,sp.,18,36,1.558,,,4.907,5.577,,70.31,5.12,Coccosphere size measured from flattened coccosphere,0.015,,,,5.51,0.66,0.06,5.12,70.31,76.00,53.44,4.67,9.06,0.75,0.07,4.86,0.40,0.14
AMT-14 CTD15 13m,31-8-05-0228,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,tenuis,,10,7.84,2.09,,,,,79.13,5.33,"CW = 1.429,  maximum upper collar CW = 7.840, possible 5% base overlap",0.015,0.012,0.016,,97.14,11.66,0.97,5.33,79.13,95,75.18,5.24,12.48,1.04,0.93,6.17,0.51,1.89
AMT-14 CTD15 13m,31-8-05-0229,Collapsed,1,Rhabdosphaeraceae,Discosphaera,tubifera,11,33,1.921,,,,,,41.57,4.30,CW = 1.457,0.07,0.053,0.087,,44.21,5.31,0.44,4.30,41.57,95,39.49,4.23,6.82,0.57,0.78,3.93,0.33,1.35
AMT-14 CTD15 13m,31-8-05-0231,Collapsed,1,Rhabdosphaeraceae,Algirosphaera,robusta,34,68,2.248,,,8.918,9.752,,406.09,9.19,CN estimated as couldn’t be counted fully,0.045,,,,93.86,11.26,0.94,9.19,406.09,6,24.37,3.60,4.33,0.36,2.60,2.80,0.23,4.02
AMT-14 CTD15 13m,31-8-05-0236,Collapsed,1,Noelaerhabdaceae,Emiliania,huxleyi,,8,3.486,,,,,,68.44,5.08,Coccosphere size uses central area length and width,0.02,0.016,0.025,,18.30,2.20,0.18,5.08,68.44,53.00,36.27,4.11,6.29,0.52,0.35,3.71,0.31,0.59
AMT-14 CTD15 13m,31-8-05-0239,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,tenuis,,19,5.056,2.004,,,,,175.11,6.94,"CW = 1.332,  maximum upper collar CW = 5.056, possible 5% base overlap",0.015,0.012,0.016,,48.92,5.87,0.49,6.94,175.11,95,166.36,6.82,26.30,2.19,0.22,10.76,0.90,0.55
AMT-14 CTD15 13m,31-8-05-0240,Partly collapsed,1,Rhabdosphaeraceae,Palusphaera,probertii,27,54,1.232,,,4.743,4.92,,57.95,4.80,CN estimated,,,,,,,,,,,,,,,,,,
AMT-14 CTD15 13m,31-8-05-0242,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,tenuis,,17,7.801,1.929,,,,,174.16,6.93,"CW = 1.541,  maximum upper collar CW = 7.801, possible 5% base overlap",0.015,0.012,0.016,,162.73,19.53,1.63,6.93,174.16,95,165.46,6.81,26.17,2.18,0.75,10.72,0.89,1.82
AMT-14 CTD15 13m,31-8-05-0244,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,tenuis,,18,6.96,1.884,,,,,174.49,6.93,"CW = 1.492,  maximum upper collar CW = 6.960, possible 5% base overlap",0.015,0.012,0.016,,122.17,14.66,1.22,6.93,174.49,95,165.76,6.82,26.22,2.18,0.56,10.73,0.89,1.37
AMT-14 CTD15 13m,31-8-05-0249,Intact,1,Holococcolith,Corisphaera,gracilia,24,48,1.377,,,5.942,6.392,,118.17,6.09,CN estimated,0.036,,,,,,,,,,,,,,,,,
AMT-14 CTD15 13m,31-8-05-0249,Collapsed,1,Syracosphaeraceae,Syracosphaera,norotica,19,38,2.392,,,6.993,7.758,,198.64,7.24,Coccosphere size measured from flattened coccosphere,0.015,,,,21.06,2.53,0.21,7.24,198.64,76.00,150.97,6.61,24.01,2.00,0.11,10.05,0.84,0.25
AMT-14 CTD15 13m,31-8-05-0251,Intact,1,Syracosphaeraceae,Syracosphaera,bannockii,,45,2,,,7.174,7.174,,,,XCs view so CN cannot be estimated and CL measured - used estimates from NannoTax,0.015,,,,14.58,1.75,0.15,,,,,,,,,,,
AMT-14 CTD15 13m,31-8-05-0253,Obscured and not in focus,1,Holococcolith,Corisphaera,tyrrheniensis HOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMT-14 CTD15 13m,31-8-05-0254,Collapsed,1,Syracosphaeraceae,Ophiaster,spp.,24,48,1.209,,0.756,,,,,,Flat diameter = 5.901,0.015,,,,3.44,0.41,0.03,,,90.00,,,,,,,,
AMT-14 CTD15 13m,31-8-05-0256,Intact,1,Noelaerhabdaceae,Gephyrocapsa,ericsonii,5,11,2.275,,1.07,2.881,3.094,PS,13.45,2.95,,0.05,0.037,0.06,,17.49,2.10,0.17,2.95,13.45,23,3.09,1.81,0.62,0.05,3.36,0.66,0.06,3.17
AMT-14 CTD15 13m,31-8-05-0257,Intact,1,Holococcolith,Helladosphaera,cornifera HOL,21,42,1.656,,1.082,5.613,6.543,PS,107.94,5.91,,0.036,,,,18.54,2.22,0.19,5.91,107.94,36.00,38.86,4.20,6.71,0.56,0.33,3.89,0.32,0.57
AMT-14 CTD15 13m,31-8-05-0259,Collapsed,1,Syracosphaeraceae,Ophiaster,spp.,22,44,1.716,,1.209,6.157,7.757,PS,153.97,6.65,Coccosphere size measured from flattened coccosphere,0.015,,,,9.00,1.08,0.09,6.65,153.97,90.00,138.57,6.42,22.16,1.85,0.05,9.47,0.79,0.11
AMT-14 CTD15 13m,31-8-05-0259,Intact,1,Umbellosphaeraceae,Umbellosphaera,tenuis,7,14,4.969,1.68,1.225,5.612,8.784,PS,144.85,6.52,,0.015,0.012,0.016,,69.56,8.35,0.70,6.52,144.85,95,137.61,6.41,22.01,1.83,0.38,9.42,0.79,0.89
AMT-14 CTD15 13m,31-8-05-0260,Intact,1,Rhabdosphaeraceae,Discosphaera,tubifera,33,66,3.621,,,15.328,16.701,,2054.53,15.77,"Minus trumpt length, CD = 6.490. Trumpet length = 5.634",0.07,0.053,0.087,,592.23,71.07,5.92,15.77,2054.53,95,1951.80,15.51,265.57,22.13,0.27,60.32,5.03,1.18
AMT-14 CTD15 13m,31-8-05-0272,Collapsed,1,Rhabdosphaeraceae,Rhabdosphaera,xiphos,,,1.617,,1.556,,,,,,,0.005,,,,,,,,,,,,,,,,,
AMT-14 CTD15 13m,31-8-05-0278,Collapsed,1,Unknown,Unknown,unknown,,,0.548,,0.419,,,,,,Flat diameter = 5-6um,,,,,,,,,,,,,,,,,,
AMT-14 CTD15 13m,31-8-05-0280,Collapsed,1,Rhabdosphaeraceae,Rhabdosphaera,clavigera,,22,3.326,,2.045,,,,,,,0.025,,,,54.64,6.56,0.55,,,90.00,,,,,,,,
AMT-14 CTD15 13m,31-8-05-0284,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi var. corona,5,10,3.159,,2.285,4.101,4.173,PS,36.75,4.12,,0.02,0.016,0.025,,17.02,2.04,0.17,4.12,36.75,53.00,19.48,3.34,3.51,0.29,0.58,2.40,0.20,0.85
AMT-14 CTD15 13m,31-8-05-0285,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,tenuis,9,18,5.749,2.091,1.483,,,,,,Smallest visible coccolith distal length is 3.537um,0.015,0.012,0.016,,138.52,16.62,1.39,,,,,,,,,,,
